match_id,participant_id,pc1,pc2,pc3
EUW1_7608956143,4,1.217162,1.551801,-1.055036
EUW1_7608956143,5,-3.440378,-1.182384,-0.66099
EUW1_7608956143,6,1.66346,-1.089615,0.354411
EUW1_7608956143,7,-1.035998,-0.2897,1.562476
EUW1_7608956143,8,1.42096,1.721443,-1.03728
EUW1_7608956143,9,0.072296,-1.505198,-0.335363
EUW1_7608956143,10,-1.502391,-0.557568,-0.454449
EUW1_7608969289,1,-0.547984,0.625127,-1.974081
EUW1_7608969289,2,-2.5246,3.73477,-0.280177
EUW1_7608969289,3,0.781853,0.093766,-0.763419
EUW1_7608969289,4,-1.238746,1.947272,-2.52944
EUW1_7608969289,5,-4.052803,0.603538,-1.9537
EUW1_7608969289,6,-0.27765,0.462995,-1.158463
EUW1_7608969289,7,-1.020858,2.008099,1.07864
EUW1_7608969289,8,2.682408,1.263107,-1.560252
EUW1_7608969289,9,-0.307067,0.294084,-2.254553
EUW1_7608969289,10,-2.181514,-1.071769,-1.350567
EUW1_7608970477,1,1.379774,-1.433933,1.081443
EUW1_7608970477,2,-0.073501,0.336317,2.48141
EUW1_7608970477,3,1.765646,-1.153036,0.297585
EUW1_7608970477,4,0.144181,-1.675875,0.197374
EUW1_7608970477,5,-1.865464,-2.590493,0.44247
EUW1_7608970477,6,1.882743,-0.063978,0.166947
EUW1_7608970477,7,-0.732737,0.345755,2.298563
EUW1_7608970477,8,2.291851,-0.964263,-0.041086
EUW1_7608970477,9,1.022464,-1.150048,-0.294275
EUW1_7608970477,10,-1.649491,-1.19965,-0.060822
EUW1_7608973406,1,1.196998,-1.744438,0.631882
EUW1_7608973406,2,-0.031693,0.161225,2.673885
EUW1_7608973406,3,1.442719,-1.468377,-0.055413
EUW1_7608973406,4,1.009877,-1.379983,-0.0544
EUW1_7608973406,5,-1.659515,-1.743522,0.544485
EUW1_7608973406,6,1.484937,0.705185,-0.666023
EUW1_7608973406,7,-3.104565,2.257834,0.258416
EUW1_7608973406,8,0.679113,1.217763,-1.044878
EUW1_7608973406,9,0.579405,0.862824,-1.235463
EUW1_7608973406,10,-2.070804,-1.451579,-0.067302
EUW1_7608985548,1,2.241292,1.030156,-1.242481
EUW1_7608985548,2,-3.103914,2.658454,-0.558425
EUW1_7608985548,3,-0.269432,0.571306,-2.089925
EUW1_7608985548,4,-2.662771,2.386036,-4.293973
EUW1_7608985548,5,-5.134146,0.491889,-3.290606
EUW1_7608985548,6,1.276917,-1.254084,-0.008289
EUW1_7608985548,7,-2.073703,3.711103,0.332886
EUW1_7608985548,8,1.028037,1.546627,-1.31876
EUW1_7608985548,9,-0.408085,-0.286379,-1.72636
EUW1_7608985548,10,-4.832861,0.849037,-3.184881
EUW1_7608987646,1,2.113462,0.398491,-0.037259
EUW1_7608987646,2,-0.768457,2.019999,1.475974
EUW1_7608987646,3,0.649334,-0.442904,-0.862606
EUW1_7608987646,4,-0.50048,-0.724924,-0.295433
EUW1_7608987646,5,-2.470314,-1.498384,-0.096375
EUW1_7608987646,6,0.699011,0.46074,-0.473401
EUW1_7608987646,7,-2.477106,1.584648,0.70405
EUW1_7608987646,8,2.040416,0.863409,-0.593594
EUW1_7608987646,9,-0.727649,0.697365,-1.013335
EUW1_7608987646,10,-2.755095,-1.152955,-1.035173
EUW1_7608994999,1,2.804772,1.272838,-0.040116
EUW1_7608994999,2,-1.340627,1.305071,2.003211
EUW1_7608994999,3,1.359536,-0.462944,0.159199
EUW1_7608994999,4,-0.242818,-0.106444,-0.243154
EUW1_7608994999,5,-1.6862,0.309941,-0.344481
EUW1_7608994999,6,1.643451,-1.36395,0.834342
EUW1_7608994999,7,-0.052531,0.003163,2.04952
EUW1_7608994999,8,1.255444,-1.195784,0.340204
EUW1_7608994999,9,0.76393,-0.537204,-0.334873
EUW1_7608994999,10,-1.295459,-1.730148,0.194615
EUW1_7609000860,1,1.625395,0.36159,-1.308413
EUW1_7609000860,2,-1.057386,0.689899,0.901565
EUW1_7609000860,3,1.022689,-0.718594,-0.474977
EUW1_7609000860,4,0.141433,-0.928634,-0.354747
EUW1_7609000860,5,-2.587655,-1.963183,-0.091989
EUW1_7609000860,6,1.761326,0.923336,-0.448393
EUW1_7609000860,7,-1.508063,1.869366,2.069676
EUW1_7609000860,8,1.934317,-0.348127,0.154955
EUW1_7609000860,9,0.428685,0.996287,-0.544596
EUW1_7609000860,10,-2.372729,0.247135,-0.303647
EUW1_7609003203,1,2.298135,0.052871,0.566249
EUW1_7609003203,2,-0.59934,1.081509,2.465642
EUW1_7609003203,3,1.703561,-0.629919,-0.135075
EUW1_7609003203,4,1.338214,-1.630418,-0.255547
EUW1_7609003203,5,-1.787832,-2.116413,0.581642
EUW1_7609003203,6,1.548468,-0.11732,-0.122934
EUW1_7609003203,7,-1.658089,3.01231,0.884441
EUW1_7609003203,8,1.674228,-0.052991,-0.131133
EUW1_7609003203,9,-0.113048,0.275309,-0.978787
EUW1_7609003203,10,-3.158045,-0.660377,-0.836329
EUW1_7609012169,1,1.339972,0.418784,-0.543087
EUW1_7609012169,2,-1.342021,1.434359,1.624164
EUW1_7609012169,3,0.280578,-0.35032,-0.490059
EUW1_7609012169,4,0.542546,-0.686218,-0.685779
EUW1_7609012169,5,-2.228571,-1.04328,0.063201
EUW1_7609012169,6,-0.246631,1.78675,-1.858683
EUW1_7609012169,7,-1.288809,3.290403,-0.402392
EUW1_7609012169,8,0.473088,0.791547,-1.67387
EUW1_7609012169,9,-0.583313,0.488301,-1.612008
EUW1_7609012169,10,-1.709674,-0.412605,-0.971045
EUW1_7609013727,1,1.5233,-0.93166,-0.357245
EUW1_7609013727,2,-0.863407,0.97311,2.139896
EUW1_7609013727,3,2.346795,0.397537,-0.561162
EUW1_7609013727,4,0.955281,-0.243604,-0.409768
EUW1_7609013727,5,-1.513352,-1.548081,-0.044172
EUW1_7609013727,6,1.718458,-0.804565,-0.278055
EUW1_7609013727,7,-0.817532,2.881371,2.596354
EUW1_7609013727,8,0.316895,-0.706298,-0.595399
EUW1_7609013727,9,0.769467,-0.215907,-1.391425
EUW1_7609013727,10,-2.697492,-0.278324,-0.843168
EUW1_7609015492,1,1.71222,2.201091,-1.67553
EUW1_7609015492,2,-1.481023,3.894232,0.812311
EUW1_7609015492,3,1.659553,0.138342,-0.999454
EUW1_7609015492,4,0.397035,0.680333,-1.49744
EUW1_7609015492,5,-3.293661,-0.966671,-1.811961
EUW1_7609015492,6,1.536303,-1.543734,0.307175
EUW1_7609015492,7,-0.903506,0.365956,1.645599
EUW1_7609015492,8,2.762803,-0.166034,-0.130972
EUW1_7609015492,9,1.042823,0.080341,-0.886815
EUW1_7609015492,10,-2.395305,-1.929612,-0.585568
EUW1_7609017200,1,1.185194,-0.769087,1.030626
EUW1_7609017200,2,-1.023128,0.037247,2.156185
EUW1_7609017200,3,0.300864,-1.364431,0.844788
EUW1_7609017200,4,-0.595559,-2.088194,0.430843
EUW1_7609017200,5,-1.735264,-1.248022,0.579095
EUW1_7609017200,6,1.704357,0.442234,0.034602
EUW1_7609017200,7,-1.136451,2.108823,2.023388
EUW1_7609017200,8,0.547854,0.845806,-0.547681
EUW1_7609017200,9,-0.78022,0.24961,-1.384875
EUW1_7609017200,10,-2.34015,-1.19712,-0.054584
EUW1_7609017917,1,1.742674,-0.651921,0.354635
EUW1_7609017917,2,-0.680415,2.212657,2.316282
EUW1_7609017917,3,2.642488,1.325781,-0.969774
EUW1_7609017917,4,0.675696,-0.113086,-0.586439
EUW1_7609017917,5,-1.770371,-1.239463,-0.606734
EUW1_7609017917,6,2.699539,-0.429773,0.952675
EUW1_7609017917,7,-0.880893,0.662064,1.366136
EUW1_7609017917,8,1.265287,-1.551611,-0.222788
EUW1_7609017917,9,-0.29701,-1.91097,0.176677
EUW1_7609017917,10,-1.551209,-2.210482,0.393918
EUW1_7609022239,1,2.720092,0.537028,-0.240105
EUW1_7609022239,2,-2.002249,2.454855,1.878237
EUW1_7609022239,3,1.573771,1.494695,-0.826034
EUW1_7609022239,4,-0.7822,1.579782,-1.519495
EUW1_7609022239,5,-2.367412,0.059442,-0.428161
EUW1_7609022239,6,2.280686,-0.510741,-0.02542
EUW1_7609022239,7,-0.665945,0.938492,1.710057
EUW1_7609022239,8,1.884737,-1.282676,0.129319
EUW1_7609022239,9,-0.450016,-1.051342,-0.818457
EUW1_7609022239,10,-1.524339,-2.176479,0.152032
EUW1_7609028982,1,4.148432,1.003876,0.292303
EUW1_7609028982,2,-0.202749,2.466837,2.557472
EUW1_7609028982,3,2.345602,-0.219699,0.286734
EUW1_7609028982,4,1.1063,-0.069356,-0.238551
EUW1_7609028982,5,-1.080648,-0.774299,0.559216
EUW1_7609028982,6,2.422566,-0.90742,1.05977
EUW1_7609028982,7,0.038345,-0.524654,2.808472
EUW1_7609028982,8,2.325457,-0.315307,0.54867
EUW1_7609028982,9,-0.204677,-2.074821,0.34408
EUW1_7609028982,10,-0.865459,-0.948442,0.720989
EUW1_7609035174,1,1.285179,0.977236,-1.245256
EUW1_7609035174,2,-0.766351,2.887264,0.781051
EUW1_7609035174,3,0.016359,0.804025,-1.452862
EUW1_7609035174,4,-0.331522,1.282425,-2.349111
EUW1_7609035174,5,-3.670587,-0.94098,-1.704292
EUW1_7609035174,6,1.328444,-0.549316,-0.551309
EUW1_7609035174,7,-1.984759,1.687057,0.659404
EUW1_7609035174,8,1.395233,-0.982912,-0.669673
EUW1_7609035174,9,1.37524,1.777489,-1.696086
EUW1_7609035174,10,-3.53577,0.007206,-1.930028
EUW1_7609038359,1,2.266988,-1.037303,1.219534
EUW1_7609038359,2,0.69351,2.369819,3.391528
EUW1_7609038359,3,2.703942,-0.32351,0.359457
EUW1_7609038359,4,0.877674,-1.236791,0.049772
EUW1_7609038359,5,-1.50304,-2.429298,0.668189
EUW1_7609038359,6,1.773534,-1.155414,1.602179
EUW1_7609038359,7,0.112511,-0.206331,2.5865
EUW1_7609038359,8,2.101917,-1.471514,0.43207
EUW1_7609038359,9,0.292228,-2.027416,0.118366
EUW1_7609038359,10,-1.036117,-2.676999,1.109463
EUW1_7609042356,1,2.533587,0.490458,-0.201728
EUW1_7609042356,2,-0.980953,3.086407,1.519436
EUW1_7609042356,3,1.240779,-0.570225,-0.703968
EUW1_7609042356,4,-0.02548,0.449129,-1.650258
EUW1_7609042356,5,-2.975815,0.581436,-1.476237
EUW1_7609042356,6,1.613048,-1.213514,1.199117
EUW1_7609042356,7,-1.064332,1.053581,2.121618
EUW1_7609042356,8,1.330936,-0.49806,0.103503
EUW1_7609042356,9,0.064658,0.17921,-0.703884
EUW1_7609042356,10,-2.172826,-2.027821,0.01954
EUW1_7609047783,1,1.000215,-0.923269,-1.038015
EUW1_7609047783,2,-3.188274,3.559794,-0.193342
EUW1_7609047783,3,-0.690107,1.577381,-2.32166
EUW1_7609047783,4,-2.238588,0.840526,-2.613277
EUW1_7609047783,5,-2.089698,2.247252,-1.443031
EUW1_7609047783,6,-3.008902,1.074076,-4.530153
EUW1_7609047783,7,-3.559015,4.145226,-0.940201
EUW1_7609047783,8,-1.687159,3.039051,-3.886941
EUW1_7609047783,9,-1.14875,2.051498,-3.726418
EUW1_7609047783,10,-3.187234,2.768694,-3.287639
EUW1_7609052041,1,2.541104,-0.56589,0.74678
EUW1_7609052041,2,1.086817,2.363225,3.057791
EUW1_7609052041,3,2.565528,0.669698,0.238091
EUW1_7609052041,4,1.215949,-1.203787,0.625315
EUW1_7609052041,5,-1.359159,-1.909754,1.046073
EUW1_7609052041,6,1.882773,-0.948197,0.898893
EUW1_7609052041,7,0.332852,0.621016,3.065506
EUW1_7609052041,8,2.333674,-0.994666,0.218574
EUW1_7609052041,9,1.619963,-1.11474,0.349488
EUW1_7609052041,10,-0.49718,-1.200681,1.112168
EUW1_7609061417,1,2.740667,-0.612907,0.579571
EUW1_7609061417,2,-0.372962,-0.609783,2.873701
EUW1_7609061417,3,1.378704,-0.944186,0.373026
EUW1_7609061417,4,0.243124,-1.647182,-0.173314
EUW1_7609061417,5,-1.836581,-2.550813,0.482683
EUW1_7609061417,6,2.767456,-0.75638,0.938293
EUW1_7609061417,7,-0.592047,2.0954,2.977764
EUW1_7609061417,8,1.774697,-0.583146,0.100569
EUW1_7609061417,9,0.964638,-0.399167,-0.831661
EUW1_7609061417,10,-1.093955,-1.252321,0.217763
EUW1_7609064398,1,1.310062,0.406815,-0.921195
EUW1_7609064398,2,-0.468484,3.032277,1.343183
EUW1_7609064398,3,0.154565,0.682015,-1.176073
EUW1_7609064398,4,-0.670162,1.298183,-1.778705
EUW1_7609064398,5,-3.0301,-0.28105,-0.995846
EUW1_7609064398,6,3.055984,-0.681251,0.041957
EUW1_7609064398,7,0.14352,0.401114,2.805842
EUW1_7609064398,8,2.389247,0.717695,-0.340699
EUW1_7609064398,9,0.824952,-1.350743,-0.271452
EUW1_7609064398,10,-1.404342,-2.033604,0.60842
EUW1_7609071727,1,1.255073,0.973175,-0.641076
EUW1_7609071727,2,-0.821827,1.61173,2.231488
EUW1_7609071727,3,1.757263,0.169117,-0.947227
EUW1_7609071727,4,-0.711563,-0.225801,-0.692108
EUW1_7609071727,5,-2.23869,-0.510379,-0.56498
EUW1_7609071727,6,1.051436,-1.476219,0.454968
EUW1_7609071727,7,-1.568898,1.056606,1.911449
EUW1_7609071727,8,2.178007,0.182499,-0.285203
EUW1_7609071727,9,-0.658481,-1.13197,-0.02595
EUW1_7609071727,10,-1.453945,0.039149,-0.11081
EUW1_7609075919,1,2.72112,-0.173293,-0.109811
EUW1_7609075919,2,-0.72679,-0.086739,2.719437
EUW1_7609075919,3,1.676266,-1.061434,0.060269
EUW1_7609075919,4,-0.884274,-2.071575,0.154754
EUW1_7609075919,5,-1.870163,-2.604458,0.677829
EUW1_7609075919,6,0.861228,-0.319155,-0.175823
EUW1_7609075919,7,-1.080895,2.426726,1.596911
EUW1_7609075919,8,2.322121,0.764346,-0.844977
EUW1_7609075919,9,0.385898,0.122492,-0.566281
EUW1_7609075919,10,-2.255143,0.065431,-0.70283
EUW1_7609086924,1,2.197903,0.4138,-0.238825
EUW1_7609086924,2,-1.227451,1.478132,2.261311
EUW1_7609086924,3,0.686545,0.052442,-0.213866
EUW1_7609086924,4,0.515117,0.502575,-0.986714
EUW1_7609086924,5,-2.097744,-1.637703,-0.224813
EUW1_7609086924,6,-0.747896,-1.202199,-0.345569
EUW1_7609086924,7,-1.500502,1.406013,1.412145
EUW1_7609086924,8,2.023731,1.550972,-1.708091
EUW1_7609086924,9,1.178032,1.59655,-1.80066
EUW1_7609086924,10,-3.178625,-0.80589,-1.247337
EUW1_7609089412,1,2.053553,0.492547,-0.460861
EUW1_7609089412,2,-1.167557,0.860965,1.732066
EUW1_7609089412,3,1.354556,-0.613001,-0.438676
EUW1_7609089412,4,0.199072,0.662692,-1.180029
EUW1_7609089412,5,-2.961636,-1.692468,-0.461759
EUW1_7609089412,6,1.884005,1.360624,-1.06373
EUW1_7609089412,7,-1.552309,2.864437,1.574246
EUW1_7609089412,8,1.182915,0.575463,-1.630018
EUW1_7609089412,9,0.158722,-0.847218,-1.128274
EUW1_7609089412,10,-2.231862,-0.761367,-0.624883
EUW1_7609098088,1,2.356048,0.180333,-0.090792
EUW1_7609098088,2,0.171225,5.691601,0.543937
EUW1_7609098088,3,1.873154,0.179613,-0.696038
EUW1_7609098088,4,-0.345094,-0.084172,-0.882596
EUW1_7609098088,5,-2.336133,0.087282,-0.330688
EUW1_7609098088,6,1.909018,-1.530147,0.283286
EUW1_7609098088,7,-0.76416,-0.904676,2.393188
EUW1_7609098088,8,2.003798,-0.943844,-0.006768
EUW1_7609098088,9,0.689567,0.052016,-1.18803
EUW1_7609098088,10,-2.091659,-1.651037,0.050943
EUW1_7609104150,1,1.822735,-0.54552,0.044093
EUW1_7609104150,2,-1.651802,1.708123,0.837208
EUW1_7609104150,3,0.990902,0.81796,-0.699608
EUW1_7609104150,4,-0.027623,0.24572,-1.268915
EUW1_7609104150,5,-2.379132,-0.482929,-1.528512
EUW1_7609104150,6,2.370778,-0.42971,0.454694
EUW1_7609104150,7,-0.496725,0.930098,2.349378
EUW1_7609104150,8,2.174037,-0.185654,-0.544077
EUW1_7609104150,9,0.320661,-1.058422,-0.289529
EUW1_7609104150,10,-1.830721,-1.403187,0.358053
EUW1_7609110533,1,2.646026,-0.617784,1.111354
EUW1_7609110533,2,-1.04659,0.863908,2.751613
EUW1_7609110533,3,2.572008,0.082764,-0.157645
EUW1_7609110533,4,1.190224,-0.234315,0.029908
EUW1_7609110533,5,-1.95823,-0.952233,0.311485
EUW1_7609110533,6,3.257444,-0.995996,0.966015
EUW1_7609110533,7,-0.210791,-0.305591,2.737627
EUW1_7609110533,8,1.071159,-1.825904,0.491248
EUW1_7609110533,9,0.320957,-2.24646,0.203792
EUW1_7609110533,10,-0.925875,-2.77912,1.207112
EUW1_7609114948,1,1.899796,-0.570215,0.149041
EUW1_7609114948,2,-1.141922,0.594936,2.403118
EUW1_7609114948,3,1.216452,-0.757181,-0.373723
EUW1_7609114948,4,0.005194,-0.839963,0.118188
EUW1_7609114948,5,-1.898719,-1.015025,-0.43111
EUW1_7609114948,6,2.642764,-0.007734,-0.354673
EUW1_7609114948,7,-1.06796,2.55145,1.366549
EUW1_7609114948,8,2.235906,1.297686,-1.163386
EUW1_7609114948,9,0.142712,1.14984,-1.966901
EUW1_7609114948,10,-2.546443,-1.142775,-1.168738
EUW1_7609117136,1,1.497112,-1.600478,0.192259
EUW1_7609117136,2,0.015914,0.844302,2.809664
EUW1_7609117136,3,1.582655,-0.968222,-0.354789
EUW1_7609117136,4,0.590456,-1.099201,-0.371798
EUW1_7609117136,5,-1.974711,-1.921173,0.453261
EUW1_7609117136,6,1.357468,1.41735,-1.221745
EUW1_7609117136,7,-1.896097,3.09986,1.338245
